"lon","lat"
-122.0201268,37.3578389
-122.0201268,37.3578389
-122.0201268,37.3578389
-122.0201268,37.3578389
-122.0201268,37.3578389
-122.4067318,37.6552091
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.4055559,37.6579995
-122.3948905,37.6674396
-121.8477667,37.3418149
-122.0326247,37.3827653
-122.0326247,37.3827653
-122.0328251,37.382171
-122.0328251,37.382171
-122.0366393,37.3677894
-122.0366393,37.3677894
-122.0364712,37.3678196
-122.0811909,37.3992115
-122.0811909,37.3992115
-122.0809967,37.3969915
-122.0809615,37.3970624
-122.0809615,37.3970624
-122.0809615,37.3970624
-122.0662577,37.4165283
-122.0618642,37.4244015
-122.0618642,37.4244015
-122.0618639,37.4242007
-122.0618639,37.4242007
-122.0618639,37.4242007
-122.0618639,37.4242007
-122.0618639,37.4242007
-122.0618583,37.4161525
-122.0618857,37.4148475
-122.0557032,37.4209124
-122.058026,37.4201539
-122.0589075,37.4197441
-122.0589728,37.419042
-122.0589647,37.41757
-122.0618997,37.4271839
-122.0686769,37.3908288
-122.0686769,37.3908288
-122.0686769,37.3908288
-122.0686769,37.3908288
-122.0580206,37.4264911
-122.0580206,37.4264911
-122.0557353,37.4157614
-122.1322773,37.6863517
-122.1322773,37.6863517
-122.1322773,37.6863517
-122.2307271,37.7741966
-122.2359665,37.7766371
-122.0282902,37.4109497
-122.0281112,37.410525
-122.027297,37.4105984
-122.027297,37.4105984
-122.0274393,37.4107684
-122.108296,37.4048773
-122.1037049,37.4009221
-122.1040543,37.4005298
-122.1061793,37.4116837
-122.1043301,37.4139705
-122.1041682,37.4142613
-122.1036127,37.4155851
-122.1112446,37.4053402
-122.1113901,37.4051017
-122.3032181,37.8240326
-122.1076546,37.4028101
-122.1072469,37.4033143
-122.106751,37.4038267
-122.106751,37.4038267
-122.106751,37.4038267
-122.1081301,37.4017667
-122.1085998,37.4041888
-122.1109216,37.4007612
-122.0964988,37.393019
-122.0958399,37.392395
-122.0720909,37.3077065
-122.1086744,37.4078001
-122.0354837,37.5605652
-122.0354837,37.5605652
-121.9049902,37.4654157
-121.9049902,37.4654157
-121.9049902,37.4654157
-121.9031401,37.4630877
-121.9031401,37.4630877
