time,spatialGroup,siteType,chargerType,chargingLoad,numPlugged
9.75,San Mateo,Residential,j-1772-2,6.700000000000001,1
9.75,San Mateo,Non-Residential,j-1772-2,13.4,5
9.75,Contra Costa,Non-Residential,j-1772-2,0.0,1
10.0,Santa Clara,Residential,j-1772-2,0.0,0
10.0,Santa Clara,Non-Residential,j-1772-2,20.1,8
10.0,Alameda,Non-Residential,j-1772-2,0.0,1
10.0,San Mateo,Residential,j-1772-2,6.700000000000001,1
10.0,San Mateo,Non-Residential,j-1772-2,20.1,6
10.0,Contra Costa,Non-Residential,j-1772-2,0.0,1
10.25,Santa Clara,Residential,j-1772-2,0.0,0
10.25,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,8
10.25,Alameda,Residential,j-1772-2,0.0,0
10.25,Alameda,Non-Residential,j-1772-2,0.0,1
10.25,San Mateo,Residential,j-1772-2,6.700000000000002,1
10.25,San Mateo,Non-Residential,j-1772-2,33.5,9
10.25,Contra Costa,Non-Residential,j-1772-2,6.7,2
10.5,Santa Clara,Residential,j-1772-2,0.0,0
10.5,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,7
10.5,Alameda,Residential,j-1772-2,0.0,0
10.5,Alameda,Non-Residential,j-1772-2,0.0,1
10.5,San Mateo,Residential,j-1772-2,1.7763568394002505E-15,1
10.5,San Mateo,Non-Residential,j-1772-2,26.8,9
10.5,Contra Costa,Non-Residential,j-1772-2,6.7,2
10.75,Santa Clara,Residential,j-1772-2,0.0,0
10.75,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,8
10.75,Alameda,Residential,j-1772-2,0.0,0
10.75,Alameda,Non-Residential,j-1772-2,0.0,1
10.75,San Mateo,Residential,j-1772-2,1.7763568394002505E-15,1
10.75,San Mateo,Non-Residential,j-1772-2,26.8,9
10.75,Contra Costa,Non-Residential,j-1772-2,6.7,2
11.0,Santa Clara,Residential,j-1772-2,0.0,0
11.0,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,8
11.0,Alameda,Residential,j-1772-2,0.0,0
11.0,Alameda,Non-Residential,j-1772-2,0.0,1
11.0,San Mateo,Residential,j-1772-2,1.7763568394002505E-15,1
11.0,San Mateo,Non-Residential,j-1772-2,20.1,9
11.0,Contra Costa,Non-Residential,j-1772-2,6.7,2
11.25,Santa Clara,Residential,j-1772-2,0.0,0
11.25,Santa Clara,Non-Residential,j-1772-2,26.8,10
11.25,San Francisco,Non-Residential,j-1772-2,6.7,1
11.25,Alameda,Residential,j-1772-2,0.0,0
11.25,Alameda,Non-Residential,j-1772-2,0.0,1
11.25,San Mateo,Residential,j-1772-2,1.7763568394002505E-15,1
11.25,San Mateo,Non-Residential,j-1772-2,6.700000000000002,8
11.25,Contra Costa,Non-Residential,j-1772-2,6.7,2
11.5,Santa Clara,Residential,j-1772-2,0.0,0
11.5,Santa Clara,Non-Residential,j-1772-2,26.8,10
11.5,San Francisco,Non-Residential,j-1772-2,6.7,1
11.5,Alameda,Residential,j-1772-2,0.0,0
11.5,Alameda,Non-Residential,j-1772-2,0.0,1
11.5,San Mateo,Residential,j-1772-2,6.700000000000002,2
11.5,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,8
11.5,Contra Costa,Non-Residential,j-1772-2,6.7,2
